INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/request/_requestdata.py first seen with mtime 1737433109.0627768
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/topological_sort.py first seen with mtime 1741546736.847441
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1741546736.8092225
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_payment/refundedpayment.py first seen with mtime 1737433109.0544257
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/server_cursor.py first seen with mtime 1737620296.4465168
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/setuptools/_vendor/more_itertools/more.py first seen with mtime 1740424665.1680603
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpcore/_sync/connection_pool.py first seen with mtime 1737433107.912514
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpcore/_sync/http11.py first seen with mtime 1737433107.912649
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/importlib/resources/_common.py first seen with mtime 1733935671.3895802
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpx/_utils.py first seen with mtime 1737433108.8932974
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_files/photosize.py first seen with mtime 1737433109.048578
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/attr/converters.py first seen with mtime 1737433107.8745992
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/jupyter.py first seen with mtime 1738003396.1441667
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1741546736.6114612
